,UCL,,,,,,,,,,UNF,,,,,,,,,,Vanderbilt,,,,,,,,,,Zurich,,,,,,,,,,MEAN,STD,,,Average per center (dice),,,
Soft-Adap-Relu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCL,UNF,Vanderbilt,Zurich
rvd_class0,0.079321495556238,0.127832800868559,0.068081569613078,0.15262423003467,0.079454996739623,0.134861823866018,0.064564473725825,0.142319172952657,0.104468443071577,0.08447575600285,0.118695948972408,0.096065341904692,0.15309973785961,0.147925744943467,0.178354526969445,0.156315032520468,0.122808366911735,0.145474731076459,0.247223740433182,0.205802349586747,0.028885811334982,0.011419914188501,-0.000647190317631,-0.002142288307755,0.030850390421403,0.026284719651493,0.028499874715535,0.022935472719663,0.013082568129664,0.006481584928602,-0.261078899914848,-0.409959538605565,-0.309332053298642,-0.395204316443326,-0.319987619550667,-0.353245277232909,-0.389824194665122,-0.33103831321134,-0.310182551420707,-0.316912414086411,-0.015533600933894,0.199365858901264,,,,,,
specificity_class0,0.999701837699408,0.999799002816969,0.999658288514545,0.999822449701123,0.999715243199928,0.99980235570528,0.9996448948012,0.999762158069761,0.999742044541838,0.999728651836752,0.999966255454562,0.999961063017894,0.999965300259867,0.999969911139854,0.999966980449715,0.999968761582641,0.999967816203902,0.999966969138539,0.999977637300102,0.999972938393305,0.999926900162943,0.99992316072406,0.999917847848963,0.999920502624749,0.999919929117912,0.999930654134901,0.999933244214496,0.999923393242353,0.999922939001781,0.999915999022715,0.999897140057253,0.99987882171078,0.999902284251601,0.999883026192662,0.999891801113977,0.999892710496285,0.999877484830922,0.999882750552898,0.999899582766476,0.9998979493467,0.99987996703104,9.2581062574261E-05,,,,,,
vol_gt_class0,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,754.081358011268,416.068286969965,,,,,,
vol_pred_class0,175.624991476536,166.249992597103,177.624991464615,161.624991703033,175.499992072582,164.874992597103,178.37499140501,163.24999409914,170.749991965294,174.499992096424,1113.75007227751,1142.30776351232,1069.61545377511,1080.57699201657,1054.90391616638,1070.91353091827,1107.11545790159,1084.61545163852,962.307758257939,1015.96160535629,994.09012388736,1010.69610994756,1023.96208643913,1024.9727261439,992.245476101339,997.026507633924,994.393563885987,999.704514805973,1009.99322418571,1016.31901675612,697.218750317395,777.64843679592,722.109374437481,769.359374407679,728.554686831683,746.13281178847,766.726561855525,736.281250675768,722.929686816782,726.164061951637,746.674281724067,360.504903494257,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard-Dice-Sig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avd_class0,0.083530569224201,0.089313983863592,0.070895754266133,0.098614206014493,0.086299951715579,0.080327928858555,0.079973454587184,0.14709271952435,0.099094583252292,0.073665267515395,0.190847592522789,0.193720441436445,0.260892486073667,0.128712930099091,0.252967708902244,0.248368423425554,0.273514373559167,0.140354255989237,0.34304441695949,0.239079982610448,0.053371802864621,0.085188593301168,0.068331487123569,0.05406964836317,0.052345090012611,0.044652133728861,0.049431718414931,0.050786816509372,0.050242781366738,0.058458626506515,0.365665359889008,0.340315796284753,0.329920748230766,0.374643066569855,0.307134347681979,0.31877464511837,0.322466780865849,0.379537944760596,0.314583631053433,0.25326586356452,0.176337447815265,0.11722376666386,,,,,,
dice_class0,0.879307207642158,0.882328335348482,0.889751050991432,0.879301728892425,0.881348405806902,0.882877001904473,0.889139843940125,0.861601539941972,0.87417478044144,0.885679528977859,0.823229014547647,0.814113506439466,0.749748712078565,0.841298803018174,0.780497160574072,0.768695515393797,0.728627575206913,0.832790482532199,0.673382470702091,0.763547879039499,0.847861967281167,0.846150840489849,0.844809972497245,0.84637137527647,0.845433715829866,0.859217474425661,0.845303053261666,0.826388076845758,0.855366808338468,0.843505576861599,0.776674841690366,0.784732210916293,0.798372158183599,0.788000991164475,0.804667249741202,0.803548472156245,0.798031099613392,0.74991774626806,0.790405227644007,0.801104227026747,0.823432590723296,0.050331733129639,,Hard-Dice-Sig,0.880550942388727,0.777593111953242,0.846040886110775,0.789545422440439
lfdr_class0,0,0.05,0.05,0,0,0.066666666666667,0.05,0,0,0.066666666666667,0.115384615384615,0.038461538461539,0.128205128205128,0.08974358974359,0.228205128205128,0.166666666666667,0.08974358974359,0.038461538461539,0.307692307692308,0.128205128205128,0.302083333333333,0.325,0.362440476190476,0.1625,0.179166666666667,0.0875,0.208333333333333,0.458134920634921,0.202777777777778,0.269166666666667,0.695992063492064,0.742321428571429,0.632857142857143,0.728630952380952,0.537440476190476,0.660376984126984,0.586746031746032,0.81343253968254,0.62327380952381,0.620833333333333,0.270327762515263,0.256505034663491,,,,,,
ltpr_class0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923076923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998076923076923,0.012162606385263,,,,,,
mse_class0,0.00344,0.00332,0.00318,0.0034,0.00338,0.00334,0.00316,0.00381,0.00354,0.00331,0.001845703125,0.001940354567308,0.002511268028846,0.001760817307692,0.0021875,0.002271634615385,0.002602914663462,0.001881009615385,0.00298828125,0.002273137019231,0.002506390785684,0.002652957059899,0.002645210888921,0.00254260798863,0.002566713294204,0.002370700758331,0.002602806558414,0.00290577464201,0.002446214325574,0.002586638937191,0.003662368700399,0.003502160686846,0.003264597875164,0.00349414401371,0.003118940600001,0.00314810352996,0.003243483265319,0.004101140390574,0.003352819753065,0.003095463855624,0.002898796452546,0.000580460123689,,,,,,
n_gt_class0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,
n_pred_class0,1,1.2,1.2,1,1.1,1.3,1.2,1.1,1,1.2,1.69230769230769,1.53846153846154,2.76923076923077,1.61538461538462,2.61538461538462,2.07692307692308,2.53846153846154,1.53846153846154,2.76923076923077,2.46153846153846,2.25,2.15,2.6,1.55,1.85,1.3,1.8,3,1.95,2.1,4.2,4.65,3.6,4.25,3.15,4.5,3.5,6.4,3.7,3.65,2.37663461538462,1.25297594089675,,,,,,
